"Časová značka","Were you told to do the questionnaire first, or the game first?","Your game ID:
(Copypaste from the game's opening screen)","Do you consider yourself a gamer?","Do you usually pay attention to character design in games?","Do you draw (or otherwise) make art of characters, whether your own or someone's else's?","Eye shape","Iris colour","Pupils","Eyebrows","Eye shape","Iris colour","Pupils","Eyebrows","Eye shape","Iris colour","Pupils","Eyebrows","Eye shape","Iris colour","Pupils","Eyebrows","Eye shape","Iris colour","Pupils","Eyebrows","Eye shape","Iris colour","Pupils","Eyebrows","Eye shape","Iris colour","Pupils","Eyebrows","Eye shape","Iris colour","Pupils","Eyebrows","Eye shape","Iris colour","Pupils","Eyebrows","Eye shape","Iris colour","Pupils","Eyebrows","Eye shape","Iris colour","Pupils","Eyebrows","Eye shape","Iris colour","Pupils","Eyebrows"
"2026/01/26 4:14:56 odp. SEČ","Questionnaire","2986916939757550806","Yes","Sometimes","No","??????","1","4","3","?","1","1","1","?","1","1","1","?","1","1","1","?","1","1","1","?","1","1","1","?","1","1","1","?","1","1","1","?","1","1","1","?","1","1","1","?","1","1","1","?","1","1","1"
"2026/01/28 8:43:19 odp. SEČ","Game","8357365588655156805","Yes","Yes","No","?????","3","5","6","??????","6","5","3","??????","3","6","6","?????","3","5","6","??","4","4","1","?","6","5","6","????","5","3","4","?????","6","5","6","??????","6","1","6","?????","3","6","3","??????","3","1","6","?????","1","6","5"
"2026/01/29 12:32:06 dop. SEČ","Game","776907782364667392","Yes","Yes","No","??????","2","2","6","??","1","6","3","??","3","1","5","???","4","3","1","?","6","4","4","??????","1","1","6","?","5","4","4","??","3","6","2","???","4","5","6","?????","6","3","4","??","5","4","3","????","3","6","5"
"2026/01/29 3:26:49 odp. SEČ","Questionnaire","3965349194745765809","game developer, not playing many games tho (I guess it yes then)","Yes","Yes, occasionally","?????","2","3","5","???","1","1","4","??","6","6","5","?","4","2","1","??????","6","5","6","??????","3","5","5","????","4","1","2","?","6","6","3","??????","5","4","2","?","4","1","4","???","2","2","1","????","3","4","6"
"2026/01/29 3:40:11 odp. SEČ","Game","9047749499404765005","Yes","Yes","No","????","5","4","5","????","1","5","3","??????","6","3","2","??","5","1","5","??????","3","5","2","?????","1","5","3","???","4","1","2","??????","3","6","6","??","3","6","3","????","4","3","4","?","3","2","3","?????","5","2","2"
"2026/01/30 9:49:58 dop. SEČ","Game","3074537546996689171","Yes","Yes","Yes, often","?","1","5","4","???","6","1","1","??????","3","5","2","????","4","1","3","?????","1","5","5","?","2","5","4","?????","4","4","6","?????","3","5","6","??","3","6","2","??","1","6","6","??","3","6","5","?","3","3","6"
"2026/01/30 7:26:31 odp. SEČ","Questionnaire","1866945996361516431","No","No","No","??","2","6","5","?","3","4","3","????","1","1","6","???","5","2","5","?????","6","3","1","??","4","4","4","?","5","3","2","??????","2","5","6","???","3","1","6","?????","1","6","4","????","3","6","2","??","4","5","5"
"2026/01/31 2:48:38 odp. SEČ","Questionnaire","6608919403672193378","Yes","Sometimes","Yes, started recently trying to draw (~year, no previous experience)","?????","2","5","6","????","4","6","3","??","3","5","5","???","5","1","1","?","1","2","2","??????","6","4","4","????","1","1","6","????","3","4","4","??","4","1","3","??","5","4","4","??","3","1","4","?","6","4","5"
"2026/02/02 6:50:41 odp. SEČ","Questionnaire","4881715645086325763","Yes","Sometimes","No","??","2","4","4","?????","3","5","3","??????","1","6","6","??","5","5","5","?","6","1","2","????","4","5","2","?","6","1","2","??","2","6","1","?","5","1","3","???","1","5","2","????","4","6","4","?","1","4","2"
"2026/02/02 9:44:43 odp. SEČ","Questionnaire","6062606089144746725","Yes","Yes","Yes, occasionally","?????","4","5","2","?????","3","5","3","??????","3","6","2","????","5","1","5","?????","1","5","3","?????","1","5","5","??","6","6","6","??","3","6","2","??","3","3","2","?","6","2","1","??","3","3","2","?????","1","4","2"
"2026/02/03 10:25:52 dop. SEČ","Game","8186985820126921263","Yes","Sometimes","No","?????","2","4","1","???","3","5","3","??????","3","5","6","?","6","2","5","??","4","1","4","????","1","5","5","??","5","2","1","????","3","6","6","???","5","1","1","??","4","3","4","???","4","1","3","?","2","2","4"
"2026/02/05 11:27:39 odp. SEČ","Game","2369515120298670143","No","Sometimes","Yes, occasionally","?????","5","3","6","?????","4","5","3","??????","3","5","2","?","2","4","4","?","5","1","1","?????","4","2","5","????","5","4","4","?","3","4","4","??","1","3","1","??","4","6","5","?????","4","5","3","?","3","6","6"
